"islands.combo","fst.dist","p.value","geo.dist","fv","neg.resid"
"Borneo:Aotea",0.41892,0,7183.22157842219,0.505213297070157,-0.0862932970701574
"Doubtful_Sound:Aotea",0.46007,0.99902,1234.05046961797,0.392858858140641,0.0672111418593585
"Doubtful_Sound:Borneo",0.48036,0.99902,6959.56104044907,0.500989304551701,-0.0206293045517011
"Great_Mercury_Island:Aotea",0.42074,0.99902,58.6759712957199,0.370661052786609,0.0500789472133908
"Great_Mercury_Island:Borneo",0.39199,0.99902,7237.39719635977,0.506236443159882,-0.114246443159882
"Great_Mercury_Island:Doubtful_Sound",0.26471,0.99902,1225.69706223767,0.392701097944775,-0.127991097944775
"Halmahera:Aotea",0.47423,0,6434.85665557042,0.491079879240391,-0.0168498792403906
"Halmahera:Borneo",0.07889,0,1214.30243435009,0.39248590207972,-0.31359590207972
"Halmahera:Doubtful_Sound",0.4983,0.07324,6439.34358156909,0.491164618113064,0.00713538188693635
"Halmahera:Great_Mercury_Island",0.41622,0.07617,6492.08177195062,0.492160617334149,-0.0759406173341493
"Hatutaa:Aotea",0.35356,0,5446.28208917342,0.472409926953566,-0.118849926953566
"Hatutaa:Borneo",0.42805,0,11370.7600951501,0.584298018611701,-0.156248018611701
"Hatutaa:Doubtful_Sound",0.45124,0.04883,6503.11390940282,0.492368967302736,-0.041128967302736
"Hatutaa:Great_Mercury_Island",0.39537,0.04395,5422.77400587983,0.471965959641069,-0.076595959641069
"Hatutaa:Halmahera",0.45885,0,10211.1230578528,0.562397426696532,-0.103547426696532
"Honuea:Aotea",0.61137,0,4049.02862249807,0.446021775323785,0.165348224676215
"Honuea:Borneo",0.61576,0,10354.7289041973,0.565109527928442,0.0506504720715583
"Honuea:Doubtful_Sound",0.83929,0.04883,5101.32526016279,0.465895165439808,0.373394834560192
"Honuea:Great_Mercury_Island",0.77416,0.04492,4024.00838527464,0.445549249880541,0.328610750119459
"Honuea:Halmahera",0.63802,0,9266.40414001351,0.544555720344724,0.0934642796552759
"Honuea:Hatutaa",0.57002,0,1403.25403241112,0.396054390932489,0.173965609067511
"Kaikura_Island:Aotea",0.12005,0,11.3419092177926,0.369767114473228,-0.249717114473228
"Kaikura_Island:Borneo",0.43769,0,7172.04579174209,0.505002234181053,-0.0673122341810531
"Kaikura_Island:Doubtful_Sound",0.51686,0.03906,1233.44865754804,0.392847492480414,0.124012507519586
"Kaikura_Island:Great_Mercury_Island",0.46308,0.04395,69.7805502034988,0.370870770864962,0.0922092291350377
"Kaikura_Island:Halmahera",0.47595,0,6423.51474677354,0.490865679013845,-0.0149156790138453
"Kaikura_Island:Hatutaa",0.36798,0,5453.057822887,0.472537891630628,-0.104557891630628
"Kaikura_Island:Honuea",0.50456,0,4056.07957589915,0.446154937725539,0.058405062274461
"Kamaka:Aotea",0.57861,0,4983.05380614646,0.463661522699609,0.114948477300391
"Kamaka:Borneo",0.52864,0,11858.177784045,0.593503257452295,-0.0648632574522954
"Kamaka:Doubtful_Sound",0.69864,0.04785,5760.86375438542,0.47835103132693,0.22028896867307
"Kamaka:Great_Mercury_Island",0.6367,0.0459,4941.36270195383,0.462874155764914,0.173825844235086
"Kamaka:Halmahera",0.55832,0,10840.0516269913,0.574275201805022,-0.0159552018050219
"Kamaka:Hatutaa",0.44527,0,1810.24053926119,0.403740628190207,0.0415293718097935
"Kamaka:Honuea",0.71325,0,1707.67843033505,0.40180366789892,0.31144633210108
"Kamaka:Kaikura_Island",0.57346,0,4992.70492765326,0.463843791174007,0.109616208825993
"Kayangel:Aotea",0.71286,0,6493.75559385372,0.492192228682579,0.220667771317421
"Kayangel:Borneo",0.56183,0,2172.25714682794,0.410577576074617,0.151252423925384
"Kayangel:Doubtful_Sound",0.80571,0.05859,6735.41989031127,0.49675623532169,0.30895376467831
"Kayangel:Great_Mercury_Island",0.77967,0.07422,6552.41172949758,0.493299992619691,0.286370007380309
"Kayangel:Halmahera",0.55207,0,1068.62869156026,0.389734747113999,0.162335252886001
"Kayangel:Hatutaa",0.69001,0,9565.26941558621,0.550200009227724,0.139809990772276
"Kayangel:Honuea",0.81889,0,8777.74650877221,0.535327064287833,0.283562935712167
"Kayangel:Kaikura_Island",0.69944,0,6482.63479267298,0.49198220423476,0.20745779576524
"Kayangel:Kamaka",0.77106,0,10434.1007054641,0.566608522332041,0.204451477667959
"Late_Island:Aotea",0.25777,0,2159.91190389841,0.410344427150602,-0.152574427150602
"Late_Island:Borneo",0.23973,0,7717.53587779101,0.515304212631285,-0.275574212631285
"Late_Island:Doubtful_Sound",0.29061,0.0459,3392.8688167094,0.433629718433979,-0.143019718433979
"Late_Island:Great_Mercury_Island",0.2788,0.0498,2173.34640012567,0.410598147418234,-0.131798147418234
"Late_Island:Halmahera",0.25721,0,6670.51553547839,0.495530469204367,-0.238320469204367
"Late_Island:Hatutaa",0.31192,0,3870.15682724937,0.442643650904781,-0.130723650904781
"Late_Island:Honuea",0.47502,0,2655.91203021869,0.419711751586642,0.0553082484133576
"Late_Island:Kaikura_Island",0.30997,0,2160.0020927245,0.410346130432415,-0.100376130432415
"Late_Island:Kamaka",0.43599,0,4170.05225625846,0.448307394987377,-0.0123173949873773
"Late_Island:Kayangel",0.50552,0,6310.02722105363,0.488722384251506,0.016797615748494
"Mainland:Aotea",0.54511,0.00098,9260.04813914956,0.544435682628907,0.000674317371092803
"Mainland:Borneo",0.18879,0,2137.59450173454,0.409922946720366,-0.221132946720366
"Mainland:Doubtful_Sound",0.42986,0.13281,9095.63793973468,0.541330676003327,-0.111470676003326
"Mainland:Great_Mercury_Island",0.34331,0.1377,9315.89716867848,0.545490432318018,-0.202180432318018
"Mainland:Halmahera",0.04813,0.08203,2873.43923335602,0.423819911599763,-0.375689911599763
"Mainland:Hatutaa",0.56786,0,12776.3257036747,0.610843151107671,-0.0429831511076709
"Mainland:Honuea",0.67125,0,12021.335914936,0.596584617849867,0.0746653821501327
"Mainland:Kaikura_Island",0.58646,0,9248.75021382217,0.544222313062288,0.0422376869377116
"Mainland:Kamaka",0.6472,0,13659.3738194759,0.627520159346985,0.019679840653015
"Mainland:Kayangel",0.54023,0,3246.27642958977,0.430861214199533,0.109368785800467
"Mainland:Late_Island",0.39591,0,9499.47723123714,0.548957475801925,-0.153047475801925
"Malenge:Aotea",0.5387,0,6786.43772800691,0.497719744426548,0.040980255573452
"Malenge:Borneo",0.1291,0,551.980455938346,0.37997746806191,-0.25087746806191
"Malenge:Doubtful_Sound",0.57571,0.06836,6654.82720412371,0.495234183615188,0.0804758163848118
"Malenge:Great_Mercury_Island",0.50936,0.06348,6842.01469448449,0.498769356006345,0.0105906439936553
"Malenge:Halmahera",0.03679,0.08008,668.817746059476,0.382184025570094,-0.345394025570094
"Malenge:Hatutaa",0.49824,0,10828.7316711238,0.574061416175572,-0.0758214161755724
"Malenge:Honuea",0.67816,0,9835.30547796448,0.555299837375942,0.122860162624058
"Malenge:Kaikura_Island",0.52846,0,6775.15659677201,0.497506692028624,0.0309533079713756
"Malenge:Kamaka",0.60622,0,11366.0143734458,0.584208392193221,0.0220116078067788
"Malenge:Kayangel",0.58821,0,1679.86287568253,0.401278350845613,0.186931649154387
"Malenge:Late_Island",0.2964,0,7209.7599691243,0.505714493950014,-0.209314493950014
"Malenge:Mainland",0.00394,0.68066,2475.34786382671,0.416301665503268,-0.412361665503268
"Mohotani:Aotea",0.36428,0,5432.051313873,0.472141168374401,-0.107861168374401
"Mohotani:Borneo",0.466,0,11540.2487300026,0.587498935197474,-0.121498935197474
"Mohotani:Doubtful_Sound",0.46341,0.06543,6451.00453659417,0.491384843760513,-0.0279748437605133
"Mohotani:Great_Mercury_Island",0.44236,0.06738,5405.31438817911,0.471636222016312,-0.0292762220163123
"Mohotani:Halmahera",0.48835,0,10394.7512448048,0.565865379044735,-0.0775153790447345
"Mohotani:Hatutaa",0.23755,0,292.311321909205,0.375073426922803,-0.137523426922803
"Mohotani:Honuea",0.55448,0,1389.16951527741,0.395788394545563,0.158691605454437
"Mohotani:Kaikura_Island",0.38013,0,5439.36714124693,0.472279333114475,-0.0921493331144748
"Mohotani:Kamaka",0.44994,0,1535.02374922423,0.398542958218532,0.0513970417814681
"Mohotani:Kayangel",0.72103,0,9777.97291421337,0.554217070060154,0.166812929939846
"Mohotani:Late_Island",0.30276,0,3960.72692773822,0.444354133363279,-0.141594133363279
"Mohotani:Mainland",0.57288,0,13002.4109951157,0.6151129368653,-0.0422329368653002
"Mohotani:Malenge",0.52555,0,11002.5633537676,0.577344354389051,-0.0517943543890509
"Motukawanui:Aotea",0.44958,0,191.951807685328,0.373178064240231,0.0764019357597688
"Motukawanui:Borneo",0.51083,0,7010.1381646602,0.50194449046071,0.00888550953929046
"Motukawanui:Doubtful_Sound",0.62479,0.05273,1288.55643077233,0.393888243003139,0.230901756996861
"Motukawanui:Great_Mercury_Island",0.58055,0.05566,250.574032402728,0.374285187744744,0.206264812255256
"Motukawanui:Halmahera",0.56038,0,6250.11751158297,0.487590945657641,0.072789054342359
"Motukawanui:Hatutaa",0.43732,0,5517.31626192472,0.47375145915668,-0.0364314591566796
"Motukawanui:Honuea",0.69347,0,4126.56671483387,0.447486138795725,0.245983861204275
"Motukawanui:Kaikura_Island",0.44991,0,181.054635355519,0.372972263186497,0.0769377368135025
"Motukawanui:Kamaka",0.57216,0,5114.66946619358,0.466147180511173,0.106012819488827
"Motukawanui:Kayangel",0.76955,0,6302.35349222463,0.488577460281206,0.280972539718794
"Motukawanui:Late_Island",0.40788,0,2117.02247835564,0.409534429042507,-0.00165442904250651
"Motukawanui:Mainland",0.65554,0,9080.49687346203,0.541044725914693,0.114495274085307
"Motukawanui:Malenge",0.59635,0,6608.13089453663,0.494352289723118,0.101997710276882
"Motukawanui:Mohotani",0.5293,0,5513.74606978891,0.473684033472168,0.0556159665278322
"New_Britain:Aotea",0.454,0,4248.00647924816,0.449779617390467,0.00422038260953317
"New_Britain:Borneo",0.07531,0,3709.81180675054,0.439615418150367,-0.364305418150367
"New_Britain:Doubtful_Sound",0.53592,0.09668,4674.35978901211,0.457831610857823,0.0780883891421773
"New_Britain:Great_Mercury_Island",0.45159,0.08789,4306.51962689396,0.450884680894862,0.000705319105137658
"New_Britain:Halmahera",0.1159,0,2589.46231356321,0.418456800183278,-0.302556800183278
"New_Britain:Hatutaa",0.43629,0,7662.33439327133,0.514261692302343,-0.0779716923023426
"New_Britain:Honuea",0.67894,0,6677.09694425681,0.495654763913183,0.183285236086817
"New_Britain:Kaikura_Island",0.4712,0,4237.16789319425,0.449574922781318,0.0216250772186822
"New_Britain:Kamaka",0.59277,0,8262.07553155149,0.525588241473991,0.067181758526009
"New_Britain:Kayangel",0.60538,0,2294.76293361131,0.412891187279931,0.192488812720069
"New_Britain:Late_Island",0.15697,0,4093.72898384447,0.446865974276407,-0.289895974276407
"New_Britain:Mainland",0.12692,0.00098,5407.84289887495,0.471683974786465,-0.344763974786465
"New_Britain:Malenge",0.20231,0,3173.05957019936,0.429478460366009,-0.227168460366009
"New_Britain:Mohotani",0.47668,0,7830.65381312468,0.517440527409401,-0.0407605274094014
"New_Britain:Motukawanui",0.56816,0,4056.12235997236,0.446155745733991,0.122004254266009
"New_Guinea:Aotea",0.59431,0.02344,4384.22772091274,0.452352254972677,0.141957745027323
"New_Guinea:Borneo",0.17006,0.02734,3421.94929034421,0.434178924405582,-0.264118924405582
"New_Guinea:Doubtful_Sound",0.67725,0.33789,4729.85097468455,0.4588796024045,0.2183703975955
"New_Guinea:Great_Mercury_Island",0.58569,0.34961,4442.90201989371,0.453460361937668,0.132229638062332
"New_Guinea:Halmahera",0.08549,0.17871,2321.18262304157,0.413390142399618,-0.327900142399618
"New_Guinea:Hatutaa",0.54478,0.00293,7953.68906201512,0.519764137893084,0.025015862106916
"New_Guinea:Honuea",0.83003,0.00391,6951.06208317054,0.500828795539765,0.329201204460235
"New_Guinea:Kaikura_Island",0.5872,0.00293,4373.18860747819,0.452143773257571,0.135056226742429
"New_Guinea:Kamaka",0.7302,0.00586,8520.42776998786,0.530467412078573,0.199732587921427
"New_Guinea:Kayangel",0.68686,0.01367,2115.52293948005,0.409506109156267,0.277353890843733
"New_Guinea:Late_Island",0.33713,0.00488,4350.38513296153,0.451713112996149,-0.114583112996149
"New_Guinea:Mainland",-0.10588,0.99902,5162.2879286044,NA,NA
"New_Guinea:Malenge",0.18645,0.02344,2889.36517368366,0.424120684607836,-0.237670684607836
"New_Guinea:Mohotani",0.5899,0.01562,8118.69470204538,0.522880389849322,0.0670196101506776
"New_Guinea:Motukawanui",0.68997,0.00195,4192.44600023066,0.448730317188389,0.241239682811611
"New_Guinea:New_Britain",0.26683,0.01074,301.409642652058,0.375245255351263,-0.108415255351263
"Normanby_Island:Aotea",0.49497,0.99902,3807.69343115738,0.441463984075033,0.0535060159249668
"Normanby_Island:Borneo",0.0373,0.99902,3895.41029817793,0.443120581136793,-0.405820581136793
"Normanby_Island:Doubtful_Sound",0.66667,0.99902,4197.82431061363,0.448831890505816,0.217838109494184
"Normanby_Island:Great_Mercury_Island",0.42553,0.99902,3866.35196883627,0.44257179337633,-0.0170417933763297
"Normanby_Island:Halmahera",0.05525,0.99902,2849.96943649285,0.423376667354452,-0.368126667354452
"Normanby_Island:Hatutaa",0.47649,0.99902,7519.32923303793,0.511560935466105,-0.0350709354661051
